RespID,Q0_Gender,Q0_Generation,Q0_Location,Q0_Org,Q0_GeoFocus,Qtype,Question Grouping,Wording,Question ID,Value,Labels
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@1,1,Sexual and reproductive health and rights
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@2,0,no Access to comprehensive health services
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@3,0,no Reducing gender-based violence
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@4,1,Equitable and quality education at all levels
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@5,0,"no Economic empowerment, access to land and financial inclusion"
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@6,0,"no Women and work, unpaid care, pay gap"
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@7,0,no Women's political and civil society participation
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@8,0,"no Access to public infrastructure, including clean energy, water and sanitation"
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@9,1,Women and the effects of climatic and environmental changes
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@10,0,no Girls and women in conflict/post-conflict situations
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@11,0,"no Public finance, public spending and taxation"
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@12,0,no None of the above
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@13,0,no Don't know
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@14,0,no No answer
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Collecting data on issues that affect girls and women in policymaking isn't prioritized,q11@a,1,Very relevant
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There is little demand from advocates for data relating to gender equality,q11@b,3,Not very relevant
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Gender data is harder to collect than other data,q11@c,4,Not at all relevant
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough technical know-how within government related to gender data,q11@d,2,Fairly relevant
1,Female,30-49,No answer (International),NGO - girls/women's rights ARE sole focus,International,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough funding for the government to collect better gender data,q11@e,1,Very relevant
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@1,1,Sexual and reproductive health and rights
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@2,0,no Access to comprehensive health services
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@3,1,Reducing gender-based violence
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@4,0,no Equitable and quality education at all levels
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@5,0,"no Economic empowerment, access to land and financial inclusion"
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@6,0,"no Women and work, unpaid care, pay gap"
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@7,0,no Women's political and civil society participation
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@8,1,"Access to public infrastructure, including clean energy, water and sanitation"
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@9,0,no Women and the effects of climatic and environmental changes
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@10,0,no Girls and women in conflict/post-conflict situations
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@11,0,"no Public finance, public spending and taxation"
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@12,0,no None of the above
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@13,0,no Don't know
2,Female,30-49,Asia,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@14,0,no No answer
2,Female,30-49,Asia,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Collecting data on issues that affect girls and women in policymaking isn't prioritized,q11@a,2,Fairly relevant
2,Female,30-49,Asia,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There is little demand from advocates for data relating to gender equality,q11@b,2,Fairly relevant
2,Female,30-49,Asia,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Gender data is harder to collect than other data,q11@c,2,Fairly relevant
2,Female,30-49,Asia,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough technical know-how within government related to gender data,q11@d,2,Fairly relevant
2,Female,30-49,Asia,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough funding for the government to collect better gender data,q11@e,2,Fairly relevant
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@1,1,Sexual and reproductive health and rights
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@2,1,Access to comprehensive health services
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@3,0,no Reducing gender-based violence
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@4,1,Equitable and quality education at all levels
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@5,0,"no Economic empowerment, access to land and financial inclusion"
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@6,0,"no Women and work, unpaid care, pay gap"
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@7,0,no Women's political and civil society participation
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@8,0,"no Access to public infrastructure, including clean energy, water and sanitation"
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@9,0,no Women and the effects of climatic and environmental changes
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@10,0,no Girls and women in conflict/post-conflict situations
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@11,0,"no Public finance, public spending and taxation"
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@12,0,no None of the above
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@13,0,no Don't know
3,Female,29 and under,North America and Europe,Other,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@14,0,no No answer
3,Female,29 and under,North America and Europe,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Collecting data on issues that affect girls and women in policymaking isn't prioritized,q11@a,1,Very relevant
3,Female,29 and under,North America and Europe,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There is little demand from advocates for data relating to gender equality,q11@b,1,Very relevant
3,Female,29 and under,North America and Europe,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Gender data is harder to collect than other data,q11@c,5,Don't know
3,Female,29 and under,North America and Europe,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough technical know-how within government related to gender data,q11@d,5,Don't know
3,Female,29 and under,North America and Europe,Other,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough funding for the government to collect better gender data,q11@e,1,Very relevant
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@1,0,no Sexual and reproductive health and rights
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@2,1,Access to comprehensive health services
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@3,0,no Reducing gender-based violence
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@4,1,Equitable and quality education at all levels
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@5,0,"no Economic empowerment, access to land and financial inclusion"
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@6,0,"no Women and work, unpaid care, pay gap"
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@7,1,Women's political and civil society participation
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@8,0,"no Access to public infrastructure, including clean energy, water and sanitation"
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@9,0,no Women and the effects of climatic and environmental changes
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@10,0,no Girls and women in conflict/post-conflict situations
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@11,0,"no Public finance, public spending and taxation"
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@12,0,no None of the above
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@13,0,no Don't know
4,Female,30-49,Other,Private/business sector,National or sub-national,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@14,0,no No answer
4,Female,30-49,Other,Private/business sector,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Collecting data on issues that affect girls and women in policymaking isn't prioritized,q11@a,3,Not very relevant
4,Female,30-49,Other,Private/business sector,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There is little demand from advocates for data relating to gender equality,q11@b,2,Fairly relevant
4,Female,30-49,Other,Private/business sector,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,Gender data is harder to collect than other data,q11@c,2,Fairly relevant
4,Female,30-49,Other,Private/business sector,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough technical know-how within government related to gender data,q11@d,2,Fairly relevant
4,Female,30-49,Other,Private/business sector,National or sub-national,Likert,To what extent are the following factors relevant in explaining gaps in government data sources relating to gender equality?,There isn't enough funding for the government to collect better gender data,q11@e,3,Not very relevant
5,Female,30-49,No answer (International),NGO - girls/women's rights NOT sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@1,1,Sexual and reproductive health and rights
5,Female,30-49,No answer (International),NGO - girls/women's rights NOT sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@2,0,no Access to comprehensive health services
5,Female,30-49,No answer (International),NGO - girls/women's rights NOT sole focus,International,Multi-punch,What should be the three biggest priorities today in relation to gender equality?,1= top 3 priority; 0=not a top priority,@q4@3,1,Reducing gender-based violence
